commune,nb_lycees,temps_min_moyen_min
Saint-Denis,6,39.3
Montreuil,5,35.1
Saint-Maur-des-Fossés,5,46.8
Aubervilliers,4,29.6
Meaux,4,67.0
Champigny-sur-Marne,4,60.5
Créteil,4,47.2
Nogent-sur-Marne,4,40.0
Bondy,3,50.2
Bobigny,3,36.9
Chelles,3,66.5
Vincennes,3,32.5
La Courneuve,3,35.2
Noisy-le-Grand,3,49.8
Le Blanc-Mesnil,3,51.3
Aulnay-sous-Bois,3,41.0
Pantin,3,26.9
Vitry-sur-Seine,3,46.1
Drancy,2,44.4
Gagny,2,61.7
Le Kremlin-Bicêtre,2,39.7
Ivry-sur-Seine,2,42.8
Montereau-Fault-Yonne,2,103.5
Melun,2,93.1
Maisons-Alfort,2,33.2
Brie-Comte-Robert,2,92.9
Choisy-le-Roi,2,63.1
Combs-la-Ville,2,76.6
Fontenay-sous-Bois,2,37.6
Fontainebleau,2,92.7
Villemomble,2,49.0
Villepinte,2,59.8
Rosny-sous-Bois,2,45.8
Sucy-en-Brie,2,60.3
Saint-Ouen-sur-Seine,2,25.6
Provins,2,113.2
Le Raincy,2,47.8
Livry-Gargan,2,55.0
Savigny-le-Temple,2,72.3
Noisy-le-Sec,2,43.1
Épinay-sur-Seine,2,48.1
Tremblay-en-France,2,64.9
Clichy-sous-Bois,1,62.5
Claye-Souilly,1,79.3
Fresnes,1,58.0
Dammarie-les-Lys,1,77.0
Dammartin-en-Goële,1,101.9
Dugny,1,47.6
Champagne-sur-Seine,1,121.8
Champs-sur-Marne,1,47.4
Charenton-le-Pont,1,29.6
Chennevières-sur-Marne,1,73.6
Bagnolet,1,33.1
Bonneuil-sur-Marne,1,51.5
Bussy-Saint-Georges,1,62.0
Cesson,1,91.7
Alfortville,1,42.8
Avon,1,81.2
Congis-sur-Thérouanne,1,249.0
Coulommiers,1,150.3
Chevilly-Larue,1,52.0
Cachan,1,42.1
Chamigny,1,352.0
Chailly-en-Brie,1,318.1
Limeil-Brévannes,1,58.2
Les Pavillons-sous-Bois,1,57.1
La Ferté-sous-Jouarre,1,80.8
Gentilly,1,33.2
Noisiel,1,48.0
Nangis,1,83.6
Nemours,1,132.9
Neuilly-sur-Marne,1,50.8
Lognes,1,52.4
Longperrier,1,89.6
Mitry-Mory,1,49.7
Moissy-Cramayel,1,71.0
Le Bourget,1,38.1
Lagny-sur-Marne,1,67.6
La Rochette,1,242.2
Le Mée-sur-Seine,1,95.8
Le Perreux-sur-Marne,1,51.6
Les Lilas,1,30.4
Romainville,1,25.5
Orly,1,65.1
Sevran,1,52.4
Serris,1,61.5
Rozay-en-Brie,1,271.6
Saint-Mammès,1,84.1
Pontault-Combault,1,88.4
Ozoir-la-Ferrière,1,83.0
Roissy-en-Brie,1,61.2
Thiais,1,65.2
Varennes-sur-Seine,1,118.8
Tournan-en-Brie,1,55.3
Torcy,1,52.2
Thorigny-sur-Marne,1,58.6
Stains,1,47.1
Villeneuve-le-Roi,1,52.6
Vaux-le-Pénil,1,92.2
Villeneuve-Saint-Georges,1,57.2
