zone,nb_lycees,temps_min_moyen_min,temps_min_median_min,temps_min_min_min,temps_min_max_min
Zone Saint Denis,18,36.3,35.7,22.3,57.2
Zone Bobigny,20,40.6,42.3,25.0,55.9
Zone Champigny sur Marne,14,44.7,42.8,27.1,70.4
Zone Noisy le Grand,17,46.1,48.7,32.8,62.5
Zone Vitry sur Seine,12,46.2,44.8,33.2,65.2
Zone Creteil,13,48.4,48.8,28.7,65.1
Zone Sevran,13,52.9,52.8,39.4,65.3
Zone Sucy en Brie,10,53.8,54.8,39.6,73.6
Zone Nord Seine et Marne,22,87.3,66.0,47.4,352.0
Zone Sud Est Seine et Marne,3,103.3,109.6,83.6,116.8
Zone Sud Seine et Marne,14,109.2,95.6,77.0,242.2
Zone Centre Seine et Marne,16,110.6,83.2,55.3,318.1
