code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon
0940114N,Lycée polyvalent Antoine de Saint-Exupéry,lycée polyvalent,public,Créteil,94,Créteil,94028,94000,2 rue Henri Matisse,48.78269526922529,2.4615747865777506
0941930M,Lycée polyvalent Johannes Gutenberg,lycée polyvalent,public,Créteil,94,Créteil,94028,94000,16 rue de Saussure,48.76974261722545,2.4711703520991506
0770938B,Lycée polyvalent André Malraux,lycée polyvalent,public,Créteil,77,Montereau-Fault-Yonne,77305,77130,4 avenue du Lycée,48.3940334599328,2.959274568126143
0770931U,Lycée Pierre de Coubertin,lycée polyvalent,public,Créteil,77,Meaux,77284,77335,Chaussée de Paris,48.955102129539654,2.8671973622331977
0932121A,Lycée polyvalent Suger,lycée polyvalent,public,Créteil,93,Saint-Denis,93066,93200,6 avenue LEROY DES BARRES,48.92890025392054,2.3666278457683654
0772688D,Lycée polyvalent de Serris Émilie du Châtelet,lycée polyvalent,public,Créteil,77,Serris,77449,77700,35 cours du Danube,48.85680242516287,2.778926580285108
0772312V,Lycée polyvalent Flora Tristan,lycée polyvalent,public,Créteil,77,Montereau-Fault-Yonne,77305,77130,12 avenue du 8 Mai 1945,48.37742624453432,2.945380298354958
0940134K,Lycée professionnel Val de Bièvre,lycée professionnel,public,Créteil,94,Gentilly,94037,94257,17 rue d'Arcueil,48.81341688178158,2.3453674139456435
0931739K,Lycée professionnel Jean Moulin,lycée professionnel,public,Créteil,93,Rosny-sous-Bois,93064,93110,2 rue MISSAK MANOUCHIAN,48.86331073938611,2.4949129693529817
0771663P,Lycée George Sand,lycée d'enseignement général et technologique,public,Créteil,77,Le Mée-sur-Seine,77285,77350,RUE DE LA MARE AU DIABLE,48.550093457831764,2.6367077746382903
0771996B,Lycée polyvalent Honoré de Balzac,lycée d'enseignement général et technologique,public,Créteil,77,Mitry-Mory,77294,77290,9 rue Paul Langevin,48.973078796899124,2.651612015619635
0932577W,Lycée Germaine Tillion,lycée d'enseignement général et technologique,public,Créteil,93,Le Bourget,93013,93350,48 bis rue ANIZAN CAVILLON,48.934753151970135,2.419802820395747
