code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon,velo_temps_s,transport_temps_s,velo_temps_min,transport_temps_min,temps_min_s,temps_min_min,zone
0940114N,Lycée polyvalent Antoine de Saint-Exupéry,lycée polyvalent,public,Créteil,94,Créteil,94028,94000,2 rue Henri Matisse,48.78269526922529,2.46157478657775,3888,2545.0,64.8,42.41666666666666,2545.0,42.41666666666666,Zone Creteil
0941930M,Lycée polyvalent Johannes Gutenberg,lycée polyvalent,public,Créteil,94,Créteil,94028,94000,16 rue de Saussure,48.76974261722545,2.4711703520991506,4454,2929.0,74.23333333333333,48.81666666666667,2929.0,48.81666666666667,Zone Creteil
0770938B,Lycée polyvalent André Malraux,lycée polyvalent,public,Créteil,77,Montereau-Fault-Yonne,77305,77130,4 avenue du Lycée,48.3940334599328,2.959274568126143,20817,6813.0,346.95,113.55,6813.0,113.55,Zone Sud Seine et Marne
0770931U,Lycée Pierre de Coubertin,lycée polyvalent,public,Créteil,77,Meaux,77284,77335,Chaussée de Paris,48.95510212953965,2.8671973622331977,12348,3865.0,205.8,64.41666666666667,3865.0,64.41666666666667,Zone Nord Seine et Marne
0932121A,Lycée polyvalent Suger,lycée polyvalent,public,Créteil,93,Saint-Denis,93066,93200,6 avenue LEROY DES BARRES,48.92890025392054,2.3666278457683654,2215,2311.0,36.91666666666666,38.516666666666666,2215.0,36.91666666666666,Zone Saint Denis
0772688D,Lycée polyvalent de Serris Émilie du Châtelet,lycée polyvalent,public,Créteil,77,Serris,77449,77700,35 cours du Danube,48.85680242516287,2.778926580285108,9959,3691.0,165.98333333333332,61.516666666666666,3691.0,61.516666666666666,Zone Nord Seine et Marne
0772312V,Lycée polyvalent Flora Tristan,lycée polyvalent,public,Créteil,77,Montereau-Fault-Yonne,77305,77130,12 avenue du 8 Mai 1945,48.37742624453432,2.945380298354958,21518,5608.0,358.6333333333333,93.46666666666668,5608.0,93.46666666666668,Zone Sud Seine et Marne
0940134K,Lycée professionnel Val de Bièvre,lycée professionnel,public,Créteil,94,Gentilly,94037,94257,17 rue d'Arcueil,48.81341688178158,2.3453674139456435,2236,1991.0,37.266666666666666,33.18333333333333,1991.0,33.18333333333333,Zone Vitry sur Seine
0931739K,Lycée professionnel Jean Moulin,lycée professionnel,public,Créteil,93,Rosny-sous-Bois,93064,93110,2 rue MISSAK MANOUCHIAN,48.86331073938611,2.4949129693529817,3188,2921.0,53.13333333333333,48.68333333333333,2921.0,48.68333333333333,Zone Noisy le Grand
0771663P,Lycée George Sand,lycée d'enseignement général et technologique,public,Créteil,77,Le Mée-sur-Seine,77285,77350,RUE DE LA MARE AU DIABLE,48.55009345783176,2.6367077746382903,13403,5747.0,223.38333333333333,95.78333333333332,5747.0,95.78333333333332,Zone Centre Seine et Marne
0771996B,Lycée polyvalent Honoré de Balzac,lycée d'enseignement général et technologique,public,Créteil,77,Mitry-Mory,77294,77290,9 rue Paul Langevin,48.97307879689912,2.651612015619635,7601,2982.0,126.68333333333334,49.7,2982.0,49.7,Zone Nord Seine et Marne
0932577W,Lycée Germaine Tillion,lycée d'enseignement général et technologique,public,Créteil,93,Le Bourget,93013,93350,48 bis rue ANIZAN CAVILLON,48.934753151970135,2.419802820395747,2678,2284.0,44.63333333333333,38.06666666666667,2284.0,38.06666666666667,Zone Bobigny
0941918Z,Lycée polyvalent Christophe Colomb,lycée polyvalent,public,Créteil,94,Sucy-en-Brie,94071,94370,154 rue de Boissy,48.759563451086045,2.5261158036914377,5688,3715.0,94.8,61.91666666666666,3715.0,61.91666666666666,Zone Sucy en Brie
0941974K,Lycée polyvalent Robert Schuman,lycée polyvalent,public,Créteil,94,Charenton-le-Pont,94018,94220,2 rue DE L'EMBARCADERE,48.8184186264776,2.412790953648731,2309,1776.0,38.48333333333333,29.6,1776.0,29.6,Zone Creteil
0941301D,Lycée polyvalent Fréderic Mistral,lycée polyvalent,public,Créteil,94,Fresnes,94034,94260,7 rue Frédéric Mistral,48.76122613706585,2.328688497832819,3860,3479.0,64.33333333333333,57.98333333333333,3479.0,57.98333333333333,Zone Vitry sur Seine
0771436T,Campus Bougainville,"lycée d'enseignement général, technologique et professionnel agricole",public,Créteil,77,Brie-Comte-Robert,77053,77257,Route departementale 319,48.68541804243584,2.6272732084605788,8737,6149.0,145.61666666666667,102.48333333333332,6149.0,102.48333333333332,Zone Centre Seine et Marne
0940140S,Lycée professionnel Gourdou Leseurre,lycée professionnel,public,Créteil,94,Saint-Maur-des-Fossés,94068,94100,50 boulevard DE CHAMPIGNY,48.80209659868827,2.506709425319781,4156,2852.0,69.26666666666667,47.53333333333333,2852.0,47.53333333333333,Zone Sucy en Brie
0940319L,Établissement régional d'enseignement adapté - LEA - François Cavanna,lycée d’enseignement adapté,public,Créteil,94,Nogent-sur-Marne,94052,94130,3 avenue de Joinville,48.83498386464911,2.473592852086921,2810,1853.0,46.833333333333336,30.883333333333333,1853.0,30.883333333333333,Zone Champigny sur Marne
0930136T,Lycée polyvalent Claude Nicolas Ledoux,lycée professionnel,public,Créteil,93,Les Pavillons-sous-Bois,93057,93320,1 boulevard de Paris,48.913886445675615,2.4919661979623395,3426,3443.0,57.1,57.38333333333333,3426.0,57.1,Zone Sevran
0941952L,Lycée polyvalent François Arago,lycée polyvalent,public,Créteil,94,Villeneuve-Saint-Georges,94078,94190,36 avenue de l'Europe,48.73078401718247,2.4579412438695334,5596,3429.0,93.26666666666668,57.15,3429.0,57.15,Zone Creteil
0932221J,Lycée polyvalent Blaise Pascal,lycée polyvalent,public,Créteil,93,Villemomble,93077,93250,18 rue MARC VIEVILLE,48.88227088726924,2.511297990700008,3949,2920.0,65.81666666666666,48.66666666666666,2920.0,48.66666666666666,Zone Noisy le Grand
0932267J,Lycée polyvalent Liberté,lycée polyvalent,public,Créteil,93,Romainville,93063,93230,27 A rue de la Liberté,48.88203430086308,2.428984872241448,2025,1531.0,33.75,25.516666666666666,1531.0,25.516666666666666,Zone Bobigny
0940118T,Lycée polyvalent Louis Armand,lycée polyvalent,public,Créteil,94,Nogent-sur-Marne,94052,94130,173 boulevard DE STRASBOURG,48.8467161140249,2.4913060633969635,3257,2677.0,54.28333333333333,44.61666666666667,2677.0,44.61666666666667,Zone Champigny sur Marne
0940132H,Lycée professionnel Gabriel Péri,lycée professionnel,public,Créteil,94,Champigny-sur-Marne,94017,94500,41 avenue Boileau,48.80639438892424,2.5454130479978945,5080,4226.0,84.66666666666667,70.43333333333334,4226.0,70.43333333333334,Zone Champigny sur Marne
0940145X,Lycée professionnel Camille Claudel,lycée professionnel,public,Créteil,94,Vitry-sur-Seine,94081,94400,4 rue des carrières,48.79927411894196,2.392590514011896,2749,3149.0,45.81666666666667,52.48333333333333,2749.0,45.81666666666667,Zone Vitry sur Seine
0770342D,Lycée d'enseignement adapté Léopold Bellan,établissement régional d’enseignement adapté,public,Créteil,77,Chamigny,77078,77260,Domaine DE L'ANGE GARDIEN,48.98022117117861,3.145269903416594,21122,,352.03333333333336,,21122.0,352.03333333333336,Zone Nord Seine et Marne
0940115P,Lycée Romain-Rolland,lycée d'enseignement général et technologique,public,Créteil,94,Ivry-sur-Seine,94041,94200,17 rue LUCIEN NADAIRE,48.80143544126474,2.3936695095016853,2831,3251.0,47.18333333333333,54.18333333333333,2831.0,47.18333333333333,Zone Vitry sur Seine
0771357G,Lycée d'enseignement général technologique et professionnel agricole La Bretonnière,"lycée d'enseignement général, technologique et professionnel agricole",public,Créteil,77,Chailly-en-Brie,77070,77120,La Bretonnière,48.81341738428854,3.1503720861693494,19087,,318.1166666666667,,19087.0,318.1166666666667,Zone Centre Seine et Marne
0940124Z,Lycée Hector Berlioz,lycée d'enseignement général et technologique,public,Créteil,94,Vincennes,94080,94307,8 avenue Quinson,48.8467900679428,2.4269005402491595,1881,1905.0,31.35,31.75,1881.0,31.35,Zone Champigny sur Marne
